enterprise_id,enterprise_type,fiscal_quarter,revenue_inr,raw_material_cost,energy_cost,logistics_cost,labour_cost,opex_total,capex,gst_input_credit,gst_output_tax,gst_refund_claimed,gst_refund_anomaly,export_incentive_claimed,bank_od_utilization_pct,related_party_txn_pct,is_shell_entity
UDYAM-TN-11-23-0356779,Micro,2022Q1,385122,163701,37626,29770,58713,289809,13298,51466,69322,51466,0,14672,11.3,1.5,0
UDYAM-TN-11-23-0356779,Micro,2022Q2,374696,115538,42540,37311,52522,247911,3157,38357,67445,38357,0,2299,39.2,1.5,0
UDYAM-TN-11-23-0356779,Micro,2022Q3,370535,117421,36970,23822,80275,258487,12010,38637,66696,38637,0,5127,31.8,1.5,0
UDYAM-TN-11-23-0356779,Micro,2022Q4,255737,119999,20058,17321,53969,211347,8484,34949,46033,34949,0,5035,18.8,1.5,0
UDYAM-TN-11-23-0356779,Micro,2023Q1,274810,102389,28023,21319,50000,201731,6999,29887,49466,29887,0,1629,68.7,1.5,0
UDYAM-TN-11-23-0356779,Micro,2023Q2,379555,160944,42720,37899,55582,297145,1729,44456,68320,44456,0,5550,33.4,1.5,0
UDYAM-TN-11-23-0356779,Micro,2023Q3,353369,122167,40340,31996,61378,255881,7046,44931,63606,44931,0,14020,75.1,1.5,0
UDYAM-TN-11-23-0356779,Micro,2023Q4,225812,104041,14847,15160,44017,178065,9870,28455,40646,28455,0,1790,92.8,1.5,0
UDYAM-TN-11-23-0356779,Micro,2024Q1,395500,120488,28778,29036,76601,254903,17375,38901,71190,38901,0,4652,43.7,1.5,0
UDYAM-TN-11-23-0356779,Micro,2024Q2,352400,145717,23394,19154,38948,227213,7602,33609,63432,33609,0,6803,56.5,1.5,0
UDYAM-TN-11-23-0356779,Micro,2024Q3,398917,123519,25527,37993,60721,247760,10907,43449,71805,43449,0,11292,41.5,1.5,0
UDYAM-TN-11-23-0356779,Micro,2024Q4,253299,94853,16174,20583,58847,190457,3094,28157,45594,28157,0,2510,82.7,1.5,0
UDYAM-TN-07-23-0291477,Micro,2022Q1,214502,80743,19680,20642,52207,173271,9620,31036,38610,31036,0,6086,61.8,5.3,0
UDYAM-TN-07-23-0291477,Micro,2022Q2,295899,140565,24597,27712,54560,247435,2806,39119,53262,39119,0,9468,20.4,5.3,0
UDYAM-TN-07-23-0291477,Micro,2022Q3,177669,56660,16075,15923,18268,106927,7548,16609,31980,16609,0,6882,41.7,5.3,0
UDYAM-TN-07-23-0291477,Micro,2022Q4,188185,79992,10862,9542,25019,125415,5681,18139,33873,18139,0,8241,35.5,5.3,0
UDYAM-TN-07-23-0291477,Micro,2023Q1,247123,106445,18568,15566,53056,193634,8290,29647,44482,29647,0,4199,82.5,5.3,0
UDYAM-TN-07-23-0291477,Micro,2023Q2,299843,98865,21362,16245,42792,179263,5312,26923,53972,26923,0,9809,12.6,5.3,0
UDYAM-TN-07-23-0291477,Micro,2023Q3,193447,72626,11005,13180,44169,140980,8886,23228,34821,23228,0,4106,79.3,5.3,0
UDYAM-TN-07-23-0291477,Micro,2023Q4,153722,49753,12249,10758,27598,100358,7503,17305,27670,17305,0,1355,78.9,5.3,0
UDYAM-TN-07-23-0291477,Micro,2024Q1,237626,92466,15736,17269,52477,177948,1077,25659,42773,25659,0,2371,36.6,5.3,0
UDYAM-TN-07-23-0291477,Micro,2024Q2,299491,116691,20160,21959,48474,207284,10911,32974,53908,32974,0,2011,52.4,5.3,0
UDYAM-TN-07-23-0291477,Micro,2024Q3,222378,88739,19809,16388,43801,168737,1088,27074,40028,27074,0,6318,14.9,5.3,0
UDYAM-TN-07-23-0291477,Micro,2024Q4,158806,60574,13639,9392,36282,119887,3894,21522,28585,21522,0,3166,17.0,5.3,0
UDYAM-TN-21-21-0687278,Micro,2022Q1,291830,125132,20307,21195,46449,213082,8111,33914,52529,33914,0,8081,47.6,2.1,0
UDYAM-TN-21-21-0687278,Micro,2022Q2,398708,162896,37438,25058,96617,322009,18407,56866,71767,56866,0,15538,24.9,2.1,0
UDYAM-TN-21-21-0687278,Micro,2022Q3,270303,108554,14244,19741,35424,177964,7293,31056,48655,31056,0,11464,33.6,2.1,0
UDYAM-TN-21-21-0687278,Micro,2022Q4,213014,72942,19608,11180,51345,155074,224,26239,38342,26239,0,10195,64.5,2.1,0
UDYAM-TN-21-21-0687278,Micro,2023Q1,334150,126468,26075,22717,78525,253785,13271,41326,60147,41326,0,1417,93.6,2.1,0
UDYAM-TN-21-21-0687278,Micro,2023Q2,352555,111740,39264,22525,74213,247742,16311,38504,63460,38504,0,17249,15.8,2.1,0
UDYAM-TN-21-21-0687278,Micro,2023Q3,346759,170729,38658,19710,37091,266188,15851,45110,62417,45110,0,12213,13.0,2.1,0
UDYAM-TN-21-21-0687278,Micro,2023Q4,238580,74343,25443,22683,26543,149013,10634,23010,42944,23010,0,11423,75.0,2.1,0
UDYAM-TN-21-21-0687278,Micro,2024Q1,289763,125915,27618,22789,48411,224732,6685,32506,52157,32506,0,11576,26.8,2.1,0
UDYAM-TN-21-21-0687278,Micro,2024Q2,365700,147189,19440,26722,87154,280504,12232,44407,65826,44407,0,771,45.3,2.1,0
UDYAM-TN-21-21-0687278,Micro,2024Q3,271519,98541,28606,18081,56115,201343,9468,36037,48873,36037,0,4102,92.6,2.1,0
UDYAM-TN-21-21-0687278,Micro,2024Q4,275801,120713,21335,19013,42272,203333,10090,33736,49644,33736,0,1612,94.7,2.1,0
UDYAM-TN-17-20-0713329,Small,2022Q1,20223706,6331780,1707878,1155052,3607016,12801727,301965,2281778,3640267,2281778,0,754044,62.8,4.0,0
UDYAM-TN-17-20-0713329,Small,2022Q2,22023435,10092074,2298163,1803958,2203482,16397677,889666,2903766,3964218,2903766,0,930115,51.1,4.0,0
UDYAM-TN-17-20-0713329,Small,2022Q3,18251457,9007134,1462618,1728523,2695501,14893776,756908,2178827,3285262,2178827,0,776990,21.1,4.0,0
UDYAM-TN-17-20-0713329,Small,2022Q4,17629390,6637789,1001671,1212897,2337751,11190108,269164,1826776,3173290,1826776,0,689578,61.7,4.0,0
UDYAM-TN-17-20-0713329,Small,2023Q1,18728717,7213055,2214333,1231132,2867100,13525620,465114,2036565,3371169,2036565,0,6808,40.3,4.0,0
UDYAM-TN-17-20-0713329,Small,2023Q2,30525331,12364796,3194929,2721339,3343210,21624275,1236734,3466168,5494560,3466168,0,1305711,17.2,4.0,0
UDYAM-TN-17-20-0713329,Small,2023Q3,19237081,6069512,1740591,1860228,3488838,13159169,660323,2349737,3462675,2349737,0,222460,53.3,4.0,0
UDYAM-TN-17-20-0713329,Small,2023Q4,17960962,8393744,1622984,1201783,2373835,13592347,199468,2123034,3232973,2123034,0,203073,47.2,4.0,0
UDYAM-TN-17-20-0713329,Small,2024Q1,19641089,6286223,1796674,1254667,2929081,12266645,348055,2042996,3535396,2042996,0,784436,79.8,4.0,0
UDYAM-TN-17-20-0713329,Small,2024Q2,27792260,9203519,1714015,2603911,6010871,19532316,37115,3436997,5002607,3436997,0,76118,70.1,4.0,0
UDYAM-TN-17-20-0713329,Small,2024Q3,22411912,6733624,2396391,1895938,5343255,16369208,391226,2486290,4034144,2486290,0,187983,72.0,4.0,0
UDYAM-TN-17-20-0713329,Small,2024Q4,14975739,6973028,1217167,1353295,3631770,13175260,226667,1897572,2695633,1897572,0,611974,10.5,4.0,0
UDYAM-TN-21-23-0020423,Micro,2022Q1,70733,29654,6023,4657,12116,52450,3256,7669,12732,7669,0,3486,63.6,12.1,0
UDYAM-TN-21-23-0020423,Micro,2022Q2,106891,42230,6713,10633,12303,71879,1999,11467,19240,11467,0,2086,46.1,12.1,0
UDYAM-TN-21-23-0020423,Micro,2022Q3,84592,33572,5254,5885,19340,64051,682,10097,15226,10097,0,1438,23.6,12.1,0
UDYAM-TN-21-23-0020423,Micro,2022Q4,59736,27297,3588,3280,7739,41903,1999,7261,10752,7261,0,210,94.2,12.1,0
UDYAM-TN-21-23-0020423,Micro,2023Q1,88716,40644,5148,6133,15295,67221,1481,9842,15969,9842,0,1163,44.2,12.1,0
UDYAM-TN-21-23-0020423,Micro,2023Q2,82461,27992,9215,4280,14615,56103,1037,9077,14843,9077,0,4114,61.1,12.1,0
UDYAM-TN-21-23-0020423,Micro,2023Q3,70304,28489,5813,3869,11072,49243,126,7793,12655,7793,0,2521,87.2,12.1,0
UDYAM-TN-21-23-0020423,Micro,2023Q4,52995,24975,5066,2715,9714,42470,914,7157,9539,7157,0,938,76.2,12.1,0
