source,target,edge_type,weight,fraud_type
UDYAM-TN-05-21-0423390,UDYAM-TN-07-22-0508206,same_district,0.2,
UDYAM-TN-05-21-0423390,UDYAM-TN-26-21-0026928,same_district,0.2,
UDYAM-TN-36-22-0791639,UDYAM-TN-01-22-0812003,same_district,0.2,
UDYAM-TN-09-23-0078466,UDYAM-TN-31-21-0843798,same_district,0.2,
UDYAM-TN-09-23-0078466,UDYAM-TN-07-22-0508206,same_district,0.2,
UDYAM-TN-33-22-0918672,UDYAM-TN-25-22-0487958,same_district,0.2,
UDYAM-TN-31-21-0843798,UDYAM-TN-26-20-0612000,same_district,0.2,
UDYAM-TN-31-21-0843798,UDYAM-TN-17-23-0901056,same_district,0.2,
UDYAM-TN-11-23-0868669,UDYAM-TN-25-22-0487958,same_district,0.2,
UDYAM-TN-07-22-0508206,UDYAM-TN-23-20-0780432,same_district,0.2,
UDYAM-TN-25-23-0298777,UDYAM-TN-26-21-0026928,same_district,0.2,
UDYAM-TN-30-22-0684782,UDYAM-TN-26-21-0026928,same_district,0.2,
UDYAM-TN-30-22-0684782,UDYAM-TN-17-23-0901056,same_district,0.2,
UDYAM-TN-24-23-0943314,UDYAM-TN-34-22-0520567,same_district,0.2,
UDYAM-TN-19-22-0435674,UDYAM-TN-31-21-0064880,same_district,0.2,
UDYAM-TN-27-21-0078464,UDYAM-TN-11-21-0366243,same_district,0.2,
UDYAM-TN-31-21-0064880,UDYAM-TN-07-23-0537534,same_district,0.2,
UDYAM-TN-20-22-0386474,UDYAM-TN-30-20-0476936,same_district,0.2,
UDYAM-TN-30-20-0476936,UDYAM-TN-27-20-0287349,same_district,0.2,
UDYAM-TN-30-20-0476936,UDYAM-TN-04-22-0926228,same_district,0.2,
UDYAM-TN-30-20-0476936,UDYAM-TN-04-21-0302245,same_district,0.2,
UDYAM-TN-10-21-0073986,UDYAM-TN-35-23-0715068,same_district,0.2,
UDYAM-TN-35-23-0715068,UDYAM-TN-07-23-0537534,same_district,0.2,
UDYAM-TN-04-21-0302245,UDYAM-TN-29-22-0510422,same_district,0.2,
UDYAM-TN-06-23-0540660,UDYAM-TN-38-22-0518102,same_district,0.2,
UDYAM-TN-21-20-0218380,UDYAM-TN-14-20-0742471,same_district,0.2,
UDYAM-TN-21-20-0218380,UDYAM-TN-28-20-0420968,same_district,0.2,
UDYAM-TN-12-21-0691175,UDYAM-TN-37-21-0367356,same_district,0.2,
UDYAM-TN-33-23-0798679,UDYAM-TN-21-20-0665507,same_district,0.2,
UDYAM-TN-37-22-0682760,UDYAM-TN-34-20-0648986,same_district,0.2,
UDYAM-TN-04-20-0295024,UDYAM-TN-19-23-0428903,same_district,0.2,
UDYAM-TN-04-22-0998079,UDYAM-TN-19-23-0428903,same_district,0.2,
UDYAM-TN-01-20-0609304,UDYAM-TN-24-21-0158976,same_district,0.2,
UDYAM-TN-23-21-0644130,UDYAM-TN-14-22-0309117,same_district,0.2,
UDYAM-TN-34-20-0648986,UDYAM-TN-22-21-0700303,same_district,0.2,
UDYAM-TN-15-23-0414564,UDYAM-TN-19-23-0428903,same_district,0.2,
UDYAM-TN-15-23-0414564,UDYAM-TN-31-21-0176729,same_district,0.2,
UDYAM-TN-10-23-0184693,UDYAM-TN-24-22-0516257,same_district,0.2,
UDYAM-TN-10-23-0184693,UDYAM-TN-32-20-0074302,same_district,0.2,
UDYAM-TN-10-23-0184693,UDYAM-TN-19-20-0366010,same_district,0.2,
UDYAM-TN-10-23-0184693,UDYAM-TN-13-21-0760124,same_district,0.2,
UDYAM-TN-25-23-0978167,UDYAM-TN-06-21-0372542,same_district,0.2,
UDYAM-TN-25-23-0978167,UDYAM-TN-37-23-0666479,same_district,0.2,
UDYAM-TN-25-23-0978167,UDYAM-TN-28-22-0021839,same_district,0.2,
UDYAM-TN-28-20-0451525,UDYAM-TN-06-22-0028784,same_district,0.2,
UDYAM-TN-28-20-0451525,UDYAM-TN-06-21-0372542,same_district,0.2,
UDYAM-TN-28-20-0451525,UDYAM-TN-33-22-0622218,same_district,0.2,
UDYAM-TN-29-23-0909433,UDYAM-TN-32-20-0074302,same_district,0.2,
UDYAM-TN-18-21-0098868,UDYAM-TN-33-21-0028679,same_district,0.2,
UDYAM-TN-32-20-0074302,UDYAM-TN-19-20-0366010,same_district,0.2,
UDYAM-TN-37-23-0666479,UDYAM-TN-33-21-0028679,same_district,0.2,
UDYAM-TN-18-20-0541723,UDYAM-TN-25-20-0515712,same_district,0.2,
UDYAM-TN-14-23-0526196,UDYAM-TN-10-23-0844805,same_district,0.2,
UDYAM-TN-33-22-0407248,UDYAM-TN-36-22-0927676,same_district,0.2,
UDYAM-TN-33-22-0407248,UDYAM-TN-02-23-0500122,same_district,0.2,
UDYAM-TN-25-21-0389044,UDYAM-TN-11-20-0153236,same_district,0.2,
UDYAM-TN-10-23-0844805,UDYAM-TN-25-20-0515712,same_district,0.2,
UDYAM-TN-13-23-0771042,UDYAM-TN-11-20-0153236,same_district,0.2,
UDYAM-TN-13-23-0771042,UDYAM-TN-32-22-0381986,same_district,0.2,
UDYAM-TN-26-20-0540419,UDYAM-TN-32-22-0381986,same_district,0.2,
UDYAM-TN-28-22-0444155,UDYAM-TN-17-22-0456944,same_district,0.2,
UDYAM-TN-27-21-0511946,UDYAM-TN-08-23-0744306,same_district,0.2,
UDYAM-TN-36-20-0334618,UDYAM-TN-21-20-0637693,same_district,0.2,
UDYAM-TN-24-23-0801306,UDYAM-TN-15-23-0866265,same_district,0.2,
UDYAM-TN-08-23-0744306,UDYAM-TN-15-23-0866265,same_district,0.2,
UDYAM-TN-21-20-0637693,UDYAM-TN-17-22-0456944,same_district,0.2,
UDYAM-TN-19-22-0393050,UDYAM-TN-14-21-0288340,same_district,0.2,
UDYAM-TN-19-22-0393050,UDYAM-TN-19-21-0487275,same_district,0.2,
UDYAM-TN-19-22-0393050,UDYAM-TN-08-23-0623880,same_district,0.2,
UDYAM-TN-17-23-0886366,UDYAM-TN-05-23-0033277,same_district,0.2,
UDYAM-TN-08-20-0138206,UDYAM-TN-25-20-0809677,same_district,0.2,
UDYAM-TN-03-22-0978711,UDYAM-TN-13-21-0581410,same_district,0.2,
UDYAM-TN-16-23-0027561,UDYAM-TN-05-23-0033277,same_district,0.2,
UDYAM-TN-14-21-0288340,UDYAM-TN-26-21-0415944,same_district,0.2,
UDYAM-TN-15-21-0473210,UDYAM-TN-08-23-0623880,same_district,0.2,
UDYAM-TN-35-22-0692688,UDYAM-TN-19-21-0487275,same_district,0.2,
UDYAM-TN-35-22-0692688,UDYAM-TN-26-21-0415944,same_district,0.2,
UDYAM-TN-31-23-0466992,UDYAM-TN-07-20-0760398,same_district,0.2,
UDYAM-TN-13-21-0581410,UDYAM-TN-26-21-0415944,same_district,0.2,
UDYAM-TN-26-21-0415944,UDYAM-TN-35-22-0256090,same_district,0.2,
UDYAM-TN-17-20-0622775,UDYAM-TN-23-22-0340328,same_district,0.2,
UDYAM-TN-14-21-0572968,UDYAM-TN-36-23-0838673,same_district,0.2,
UDYAM-TN-14-21-0572968,UDYAM-TN-23-22-0340328,same_district,0.2,
UDYAM-TN-14-21-0572968,UDYAM-TN-04-20-0580171,same_district,0.2,
UDYAM-TN-29-22-0171747,UDYAM-TN-07-20-0064023,same_district,0.2,
UDYAM-TN-29-22-0171747,UDYAM-TN-36-23-0838673,same_district,0.2,
UDYAM-TN-06-22-0971617,UDYAM-TN-07-20-0064023,same_district,0.2,
UDYAM-TN-07-20-0064023,UDYAM-TN-04-22-0274313,same_district,0.2,
UDYAM-TN-23-22-0340328,UDYAM-TN-14-22-0657595,same_district,0.2,
UDYAM-TN-16-20-0943915,UDYAM-TN-04-22-0274313,same_district,0.2,
UDYAM-TN-04-22-0274313,UDYAM-TN-08-20-0646067,same_district,0.2,
UDYAM-TN-26-23-0765055,UDYAM-TN-34-21-0318898,same_district,0.2,
UDYAM-TN-33-20-0409421,UDYAM-TN-10-21-0344057,same_district,0.2,
UDYAM-TN-33-22-0659105,UDYAM-TN-10-23-0552892,same_district,0.2,
UDYAM-TN-19-22-0736202,UDYAM-TN-14-22-0762009,same_district,0.2,
UDYAM-TN-19-22-0736202,UDYAM-TN-36-22-0546661,same_district,0.2,
UDYAM-TN-03-20-0680028,UDYAM-TN-10-23-0552892,same_district,0.2,
UDYAM-TN-29-20-0244120,UDYAM-TN-08-23-0724039,same_district,0.2,
UDYAM-TN-20-22-0531303,UDYAM-TN-08-23-0724039,same_district,0.2,
UDYAM-TN-15-20-0484888,UDYAM-TN-09-23-0219402,same_district,0.2,
UDYAM-TN-28-20-0992387,UDYAM-TN-04-23-0623331,same_district,0.2,
UDYAM-TN-28-20-0992387,UDYAM-TN-24-21-0176731,same_district,0.2,
UDYAM-TN-04-22-0514380,UDYAM-TN-32-20-0370535,same_district,0.2,
UDYAM-TN-38-23-0997762,UDYAM-TN-10-23-0799657,same_district,0.2,
UDYAM-TN-38-23-0997762,UDYAM-TN-38-20-0703620,same_district,0.2,
UDYAM-TN-34-20-0170796,UDYAM-TN-24-21-0176731,same_district,0.2,
UDYAM-TN-07-21-0655901,UDYAM-TN-19-22-0437320,same_district,0.2,
UDYAM-TN-26-23-0719426,UDYAM-TN-02-23-0845329,same_district,0.2,
UDYAM-TN-26-23-0719426,UDYAM-TN-02-22-0177478,same_district,0.2,
UDYAM-TN-26-23-0719426,UDYAM-TN-08-22-0319737,same_district,0.2,
UDYAM-TN-26-23-0719426,UDYAM-TN-04-20-0202313,same_district,0.2,
UDYAM-TN-19-21-0723770,UDYAM-TN-16-23-0362545,same_district,0.2,
UDYAM-TN-19-21-0723770,UDYAM-TN-12-23-0047458,same_district,0.2,
UDYAM-TN-19-21-0723770,UDYAM-TN-04-20-0202313,same_district,0.2,
UDYAM-TN-19-21-0723770,UDYAM-TN-38-22-0533882,same_district,0.2,
UDYAM-TN-02-23-0845329,UDYAM-TN-17-22-0534364,same_district,0.2,
UDYAM-TN-16-23-0362545,UDYAM-TN-12-22-0921780,same_district,0.2,
UDYAM-TN-06-23-0140601,UDYAM-TN-17-22-0534364,same_district,0.2,
UDYAM-TN-12-23-0047458,UDYAM-TN-08-22-0319737,same_district,0.2,
UDYAM-TN-28-21-0649872,UDYAM-TN-04-21-0898398,same_district,0.2,
UDYAM-TN-32-21-0237548,UDYAM-TN-10-20-0977690,same_district,0.2,
UDYAM-TN-32-21-0237548,UDYAM-TN-11-20-0922356,same_district,0.2,
UDYAM-TN-32-21-0237548,UDYAM-TN-19-23-0178923,same_district,0.2,
UDYAM-TN-25-20-0306025,UDYAM-TN-28-21-0157937,same_district,0.2,
UDYAM-TN-06-20-0871700,UDYAM-TN-07-22-0686129,same_district,0.2,
UDYAM-TN-27-23-0901737,UDYAM-TN-07-22-0686129,same_district,0.2,
UDYAM-TN-19-20-0821876,UDYAM-TN-11-20-0922356,same_district,0.2,
UDYAM-TN-36-23-0266106,UDYAM-TN-26-20-0637461,same_district,0.2,
UDYAM-TN-20-23-0431513,UDYAM-TN-28-21-0157937,same_district,0.2,
UDYAM-TN-21-23-0020423,UDYAM-TN-10-20-0273442,same_district,0.2,
UDYAM-TN-21-23-0020423,UDYAM-TN-09-21-0863685,same_district,0.2,
UDYAM-TN-29-22-0906229,UDYAM-TN-08-23-0612057,same_district,0.2,
UDYAM-TN-08-23-0612057,UDYAM-TN-23-23-0185794,same_district,0.2,
UDYAM-TN-08-23-0612057,UDYAM-TN-15-21-0497485,same_district,0.2,
UDYAM-TN-08-23-0612057,UDYAM-TN-26-21-0422516,same_district,0.2,
UDYAM-TN-34-20-0879828,UDYAM-TN-01-20-0221021,same_district,0.2,
UDYAM-TN-01-20-0221021,UDYAM-TN-05-21-0499705,same_district,0.2,
UDYAM-TN-23-23-0185794,UDYAM-TN-15-21-0497485,same_district,0.2,
UDYAM-TN-21-21-0687278,UDYAM-TN-20-21-0804625,same_district,0.2,
UDYAM-TN-21-21-0687278,UDYAM-TN-10-23-0959176,same_district,0.2,
UDYAM-TN-21-21-0687278,UDYAM-TN-21-22-0958378,same_district,0.2,
UDYAM-TN-10-23-0959176,UDYAM-TN-23-22-0135194,same_district,0.2,
UDYAM-TN-10-23-0959176,UDYAM-TN-21-21-0317460,same_district,0.2,
UDYAM-TN-20-21-0125246,UDYAM-TN-06-21-0846827,same_district,0.2,
UDYAM-TN-20-21-0125246,UDYAM-TN-12-20-0511266,same_district,0.2,
UDYAM-TN-24-21-0267509,UDYAM-TN-03-21-0126125,same_district,0.2,
UDYAM-TN-06-21-0846827,UDYAM-TN-12-21-0379819,same_district,0.2,
UDYAM-TN-21-22-0958378,UDYAM-TN-15-22-0203245,same_district,0.2,
UDYAM-TN-03-21-0126125,UDYAM-TN-11-21-0691891,same_district,0.2,
UDYAM-TN-11-23-0356779,UDYAM-TN-16-21-0426157,same_district,0.2,
UDYAM-TN-11-23-0356779,UDYAM-TN-15-22-0083928,same_district,0.2,
UDYAM-TN-07-23-0291477,UDYAM-TN-24-20-0354279,same_district,0.2,
UDYAM-TN-07-23-0291477,UDYAM-TN-08-21-0846310,same_district,0.2,
UDYAM-TN-16-21-0426157,UDYAM-TN-38-22-0487576,same_district,0.2,
UDYAM-TN-38-22-0487576,UDYAM-TN-05-22-0170342,same_district,0.2,
UDYAM-TN-38-22-0487576,UDYAM-TN-34-21-0375309,same_district,0.2,
UDYAM-TN-34-21-0668934,UDYAM-TN-01-23-0331273,same_district,0.2,
UDYAM-TN-24-20-0354279,UDYAM-TN-15-22-0083928,same_district,0.2,
UDYAM-TN-24-20-0354279,UDYAM-TN-06-20-0456019,same_district,0.2,
UDYAM-TN-33-23-0142240,UDYAM-TN-15-22-0083928,same_district,0.2,
UDYAM-TN-01-20-0580100,UDYAM-TN-12-22-0030681,same_district,0.2,
UDYAM-TN-10-20-0043803,UDYAM-TN-15-22-0083928,same_district,0.2,
UDYAM-TN-15-22-0083928,UDYAM-TN-06-20-0456019,same_district,0.2,
UDYAM-TN-07-23-0955491,UDYAM-TN-18-23-0284425,same_district,0.2,
UDYAM-TN-33-20-0097717,UDYAM-TN-02-23-0976297,same_district,0.2,
UDYAM-TN-18-23-0284425,UDYAM-TN-09-21-0721470,same_district,0.2,
UDYAM-TN-06-20-0256601,UDYAM-TN-12-20-0167776,same_district,0.2,
UDYAM-TN-11-23-0418115,UDYAM-TN-17-22-0186573,same_district,0.2,
UDYAM-TN-02-23-0976297,UDYAM-TN-09-21-0573663,same_district,0.2,
UDYAM-TN-34-22-0635618,UDYAM-TN-27-21-0171488,same_district,0.2,
UDYAM-TN-18-20-0003718,UDYAM-TN-01-20-0321803,same_district,0.2,
UDYAM-TN-10-22-0085462,UDYAM-TN-15-23-0660352,same_district,0.2,
UDYAM-TN-10-22-0085462,UDYAM-TN-06-22-0489555,same_district,0.2,
UDYAM-TN-10-22-0085462,UDYAM-TN-11-21-0046151,same_district,0.2,
UDYAM-TN-15-23-0660352,UDYAM-TN-06-22-0489555,same_district,0.2,
UDYAM-TN-37-22-0125201,UDYAM-TN-25-21-0397074,same_district,0.2,
UDYAM-TN-37-22-0125201,UDYAM-TN-37-21-0980942,same_district,0.2,
UDYAM-TN-11-20-0289341,UDYAM-TN-38-20-0341245,same_district,0.2,
UDYAM-TN-38-20-0341245,UDYAM-TN-07-20-0863618,same_district,0.2,
UDYAM-TN-08-22-0909502,UDYAM-TN-37-21-0980942,same_district,0.2,
UDYAM-TN-08-22-0909502,UDYAM-TN-35-22-0023638,same_district,0.2,
UDYAM-TN-06-22-0489555,UDYAM-TN-07-20-0863618,same_district,0.2,
UDYAM-TN-06-22-0489555,UDYAM-TN-10-21-0261585,same_district,0.2,
UDYAM-TN-07-20-0863618,UDYAM-TN-35-22-0023638,same_district,0.2,
UDYAM-TN-11-21-0046151,UDYAM-TN-05-20-0641628,same_district,0.2,
UDYAM-TN-20-20-0606795,UDYAM-TN-14-21-0575463,same_district,0.2,
UDYAM-TN-30-22-0710092,UDYAM-TN-33-21-0024146,same_district,0.2,
UDYAM-TN-30-22-0710092,UDYAM-TN-09-21-0961227,same_district,0.2,
UDYAM-TN-29-21-0948434,UDYAM-TN-10-22-0298197,same_district,0.2,
UDYAM-TN-29-21-0948434,UDYAM-TN-10-20-0447108,same_district,0.2,
UDYAM-TN-10-22-0298197,UDYAM-TN-20-20-0676446,same_district,0.2,
UDYAM-TN-35-23-0557773,UDYAM-TN-24-20-0796923,same_district,0.2,
UDYAM-TN-35-23-0557773,UDYAM-TN-26-20-0543726,same_district,0.2,
UDYAM-TN-07-21-0689546,UDYAM-TN-12-20-0581668,same_district,0.2,
UDYAM-TN-24-20-0796923,UDYAM-TN-18-21-0007805,same_district,0.2,
UDYAM-TN-24-20-0796923,UDYAM-TN-12-20-0581668,same_district,0.2,
UDYAM-TN-35-23-0270329,UDYAM-TN-09-20-0063430,same_district,0.2,
UDYAM-TN-26-20-0543726,UDYAM-TN-38-22-0249826,same_district,0.2,
UDYAM-TN-16-21-0868035,UDYAM-TN-38-20-0338032,same_district,0.2,
UDYAM-TN-16-21-0868035,UDYAM-TN-21-22-0862589,same_district,0.2,
UDYAM-TN-18-20-0541723,UDYAM-TN-21-22-0958378,same_bank,0.4,
UDYAM-TN-29-22-0906229,UDYAM-TN-21-22-0958378,same_bank,0.4,
UDYAM-TN-07-23-0291477,UDYAM-TN-10-20-0977690,same_bank,0.4,
UDYAM-TN-20-21-0804625,UDYAM-TN-37-20-0982189,same_bank,0.4,
UDYAM-TN-03-22-0978711,UDYAM-TN-37-22-0605527,same_bank,0.4,
UDYAM-TN-03-22-0978711,UDYAM-TN-09-21-0863685,same_bank,0.4,
UDYAM-TN-08-23-0958862,UDYAM-TN-10-20-0977690,same_bank,0.4,
UDYAM-TN-29-23-0909433,UDYAM-TN-01-20-0609304,same_bank,0.4,
UDYAM-TN-20-20-0606795,UDYAM-TN-12-21-0379819,same_bank,0.4,
UDYAM-TN-27-21-0078464,UDYAM-TN-29-20-0132362,same_bank,0.4,
UDYAM-TN-08-20-0138206,UDYAM-TN-16-23-0027561,same_bank,0.4,
UDYAM-TN-28-20-0992387,UDYAM-TN-29-20-0132362,same_bank,0.4,
UDYAM-TN-28-20-0992387,UDYAM-TN-16-23-0027561,same_bank,0.4,
UDYAM-TN-28-20-0992387,UDYAM-TN-02-22-0813713,same_bank,0.4,
UDYAM-TN-29-20-0132362,UDYAM-TN-27-23-0901737,same_bank,0.4,
UDYAM-TN-29-23-0000709,UDYAM-TN-02-22-0813713,same_bank,0.4,
UDYAM-TN-13-22-0452249,UDYAM-TN-29-21-0559952,same_bank,0.4,
UDYAM-TN-12-20-0511266,UDYAM-TN-23-22-0135194,same_bank,0.4,
UDYAM-TN-32-22-0272029,UDYAM-TN-05-22-0558625,same_bank,0.4,
UDYAM-TN-19-22-0736202,UDYAM-TN-25-23-0551364,same_bank,0.4,
UDYAM-TN-21-20-0013596,UDYAM-TN-21-20-0218380,same_bank,0.4,
UDYAM-TN-21-20-0013596,UDYAM-TN-27-20-0287349,same_bank,0.4,
UDYAM-TN-29-22-0124474,UDYAM-TN-24-22-0516257,same_bank,0.4,
