txn_id,timestamp,invoice_no,exporter_iec,importer_iec,exporter_district,hs_code,goods_description,quantity,unit,weight_kg,declared_value_usd,actual_value_usd,benchmark_value_usd,declared_unit_price,benchmark_unit_price,origin_country,origin_risk_score,port_of_export,port_hs_mismatch,transshipment_flag,payment_terms,bank_name,ad_code,price_deviation_pct,weight_to_value_ratio,is_round_invoice,is_ghost_shipment,is_duplicate_invoice,description_specificity,suspicious_filing_hour,days_to_gst_period,benford_first_digit,exporter_iec_age_days,exporter_is_shell,exporter_turnover_cap_ratio,fraud_type,is_fraud,flags,flag_count,risk_score,risk_level,price_dev,value_per_kg,high_risk_country,zero_weight_flag,rule_score,num_flags,label,invoice_frequency_per_iec,avg_price_per_hs_code,transaction_hour,is_night_transaction,duplicate_invoice_flag,description_length,is_vague_description,fraud_probability,fraud_prediction
7861ac43-512d-4289-86e7-152b786f9da4,2024-09-11 18:28:08.218709,INV-iQ2524,18766903630,83965520324,Thoothukudi,7204,general merchandise,1057.58,KG,3204.12,34297330.4,61412239.01,61412239.01,32430.1265,58068.8543,US,0.1,INTUT1,0,0,DA,Indian Overseas Bank,985289,-44.15,9.3e-05,0,0,0,2,0,0,3,0,0,2.2059822205153115,misdescription,1,"['over_invoicing', 'vague_goods_description', 'filing_just_before_gst_deadline', 'new_iec_holder_high_value_txn']",4,1.0,CRITICAL,-0.4415228801922479,10704.134173906054,0,0,1.0,4,1,11,292.0691933518005,18,0,0,2,0,1.0,1
329a9e24-c70d-4302-8463-7f9cd49f0a18,2024-12-19 16:51:24.117462,INV-nH9176,60858808058,36542449174,Chennai,8471,engineer proactive communities products,3884.9,LTR,8031.57,117000.0,265311.76,265311.76,30.1696,68.2931,MM,0.85,INNSA1,0,0,LC,City Union Bank,315225,-55.82,0.068525,1,0,0,4,0,8,1,730,0,1.919472567426064,under_invoicing,1,"['under_invoicing', 'abnormal_weight_value_ratio', 'sanctioned_or_high_risk_origin', 'round_number_invoice']",4,1.0,CRITICAL,-0.5582335550736457,14.567512950199337,1,0,1.0,4,1,16,89.52264506828529,16,0,0,4,1,1.0,1
05bd25fc-58c7-467a-b152-7da23bba78c9,2024-11-03 17:32:54.644208,INV-ay0190,77929441499,10875775264,Erode,803,visualize turn-key architectures products,1380.41,KG,4895.66,110.19,313.9,313.9,0.0798,0.2274,IR,0.98,INNSA1,0,0,DA,Indian Bank,333672,-64.9,44.428447,0,0,0,4,0,4,1,3650,0,2.8098981207253075,under_invoicing,1,"['under_invoicing', 'abnormal_weight_value_ratio', 'sanctioned_or_high_risk_origin', 'risky_payment_terms_high_risk_origin']",4,1.0,CRITICAL,-0.6490765171503958,0.0225076904804443,1,0,1.0,4,1,13,139.9858655080214,17,0,0,4,1,1.0,1
149ea72f-1d21-4a6c-82a5-4dd713ee0d47,2025-06-28 20:17:55.458532,INV-Px0598,55214318209,42272288445,Tiruppur,803,incubate integrated technologies products,2503.81,KG,9723.59,0.0,911.14,911.14,0.1679,0.3639,SY,0.95,INITP6,0,0,DP,Indian Overseas Bank,275157,-53.85,23.123614,1,0,0,4,0,17,0,2190,0,0.8924445724947865,under_invoicing,1,"['under_invoicing', 'abnormal_weight_value_ratio', 'sanctioned_or_high_risk_origin', 'round_number_invoice', 'risky_payment_terms_high_risk_origin']",5,1.0,CRITICAL,-0.5386095081066227,0.0,1,0,1.0,5,1,10,139.9858655080214,20,0,0,4,1,1.0,1
5e820918-7e25-4c2c-8fa3-9ab876297ef6,2026-01-28 05:42:50.722086,INV-Ch6101,21339124419,11399827228,Tirunelveli,2601,general merchandise,6996.88,PCS,17888.73,329.85,704.9,704.9,0.0471,0.1007,MM,0.85,INNSA1,0,0,CAD,HDFC Bank,531119,-53.21,54.23346,0,0,0,2,0,17,3,730,0,2.702503806631301,misdescription,1,"['under_invoicing', 'abnormal_weight_value_ratio', 'sanctioned_or_high_risk_origin', 'vague_goods_description']",4,1.0,CRITICAL,-0.53227408142999,0.0184389836495693,1,0,1.0,4,1,12,330.06623615084527,5,0,0,2,0,1.0,1
a810affb-6b53-4e89-83f3-f62deb9d110f,2025-07-11 11:52:53.921569,INV-gt0546,48236339808,40224127053,Tiruppur,7204,synthesize real-time markets products,824.99,KG,1432.19,0.0,208.09,208.09,0.093,0.2522,NG,0.7,INITP6,0,0,TT,ICICI Bank,143703,-63.14,18.673702,1,0,0,4,0,0,0,3285,0,1.003977221761644,under_invoicing,1,"['under_invoicing', 'abnormal_weight_value_ratio', 'elevated_risk_origin', 'round_number_invoice', 'filing_just_before_gst_deadline']",5,1.0,CRITICAL,-0.6312450436161776,0.0,0,0,1.0,5,1,10,292.0691933518005,11,0,0,4,1,1.0,1
f7fbe27c-5775-46c5-b434-373ac6b5b476,2026-02-01 10:22:47.729425,INV-vk5758,23601418009,92302758533,Kancheepuram,803,general merchandise,4200.01,MTR,8521.82,17097.45,32039.45,32039.45,4.0708,7.6284,PK,0.9,INNSA1,0,0,DA,Union Bank of India,244091,-46.64,0.498427,0,0,0,2,0,6,1,2555,0,2.7717742839775625,misdescription,1,"['over_invoicing', 'sanctioned_or_high_risk_origin', 'vague_goods_description', 'risky_payment_terms_high_risk_origin']",4,1.0,CRITICAL,-0.4663625399821718,2.006314378617911,1,0,1.0,4,1,14,139.9858655080214,10,0,0,2,0,1.0,1
0e7e616f-2baa-4311-991f-47baac5501bc,2025-12-19 21:27:20.431545,INV-cn3256,93878467198,75202819095,Salem,8703,benchmark rich interfaces products,1147.29,NOS,1701.79,40164000.0,16181864.96,16181864.96,35007.7973,14104.4843,KP,1.0,INNSA1,0,0,TT,Union Bank of India,434097,148.2,4.2e-05,1,0,0,4,0,8,4,2920,0,1.7731100360568797,over_invoicing,1,"['over_invoicing', 'extreme_price_deviation', 'sanctioned_or_high_risk_origin', 'round_number_invoice']",4,1.0,CRITICAL,1.4820331289957194,23601.031840825817,1,0,1.0,4,1,17,12530.334875422426,21,0,0,4,1,1.0,1
6085f3a2-5f66-4058-89ba-265970f559fb,2024-11-30 04:51:02.545725,INV-ey0880,12551758898,40224127053,Tirunelveli,8542,mesh strategic supply-chains products,5516.46,KG,12910.28,1867000.0,512667.0,512667.0,338.4962,92.934,SY,0.95,INNSA1,0,0,DP,Indian Bank,54123,264.23,0.006914,1,0,0,4,1,19,1,4380,0,2.730887712163005,over_invoicing,1,"['over_invoicing', 'extreme_price_deviation', 'sanctioned_or_high_risk_origin', 'round_number_invoice', 'off_hours_filing_2am_4am', 'risky_payment_terms_high_risk_origin']",6,1.0,CRITICAL,2.6423289646415737,144.61343982124217,1,0,1.0,6,1,12,156.68826228070176,4,1,0,4,1,1.0,1
c279abc0-bc43-4b51-8c7d-b5ba79636cf6,2024-10-03 03:34:18.127834,INV-Xu6322,22283556871,48141880654,Madurai,7204,general merchandise,9631.08,KG,30978.35,10815.02,26980.22,26980.22,1.1229,2.8014,NG,0.7,INMAA4,0,0,TT,City Union Bank,273499,-59.92,2.864383,0,0,0,2,1,4,1,4380,0,2.639881379137845,misdescription,1,"['over_invoicing', 'abnormal_weight_value_ratio', 'elevated_risk_origin', 'vague_goods_description', 'off_hours_filing_2am_4am']",5,1.0,CRITICAL,-0.5991647033626044,0.3491154306039826,0,0,1.0,5,1,13,292.0691933518005,3,1,0,2,0,1.0,1
