txn_id,timestamp,invoice_no,exporter_iec,importer_iec,exporter_district,hs_code,goods_description,quantity,unit,weight_kg,declared_value_usd,actual_value_usd,benchmark_value_usd,declared_unit_price,benchmark_unit_price,origin_country,origin_risk_score,port_of_export,port_hs_mismatch,transshipment_flag,bol_weight,bol_number,packing_list,letter_of_credit,port_arrival_record,transit_port,abnormal_route_flag,further_shipment_records,transshipment_count,shared_address_flag,related_party_flag,repeat_shipment_count_30d,payment_terms,bank_name,ad_code,price_deviation_pct,weight_to_value_ratio,is_round_invoice,is_ghost_shipment,is_duplicate_invoice,description_specificity,suspicious_filing_hour,days_to_gst_period,benford_first_digit,exporter_iec_age_days,exporter_is_shell,exporter_turnover_cap_ratio,fraud_type,is_fraud
a6d5eb16-9d59-43a0-a764-2ff126ee41f3,2026-04-07 22:37:33,INV-wl0813,93189703758,82336997357,Chennai,8471,Reduced client-server paradigm goods,3700.82,NOS,11867.99,351334.83,351334.83,351334.83,94.9343,94.9343,GB,0.1,INNSA1,0,0,11867.99,BOL-5644gKgk,True,True,True,,0,0,2,0,0,1,CAD,Indian Overseas Bank,509830,0.0,0.03378,0,0,0,4,0,0,3,2190.0,0,2.7058298222524444,clean,0
5447c6f5-f45f-4f20-8dad-20f40502318f,2024-11-04 16:30:14,INV-Ff2837,95735339561,62357043054,Namakkal,7204,expedite next-generation communities products,9496.99,LTR,13334.53,2023.68,2023.68,2023.68,0.2131,0.2131,SY,0.95,INNSA1,0,0,13334.53,BOL-5459MZMv,True,True,True,,1,1,2,0,0,1,LC,ICICI Bank,025894,0.0,6.589244,0,0,0,4,0,3,2,4745.0,0,0.5568702305675036,round_tripping,1
89555a6b-b94b-4145-b313-4985511b5f4f,2025-03-11 16:18:12,INV-ei2815,36713741507,15137380120,Tirunelveli,8542,Programmable web-enabled protocol goods,191.77,KG,415.67,33734.59,33734.59,33734.59,175.9075,175.9075,IR,0.98,INNSA1,0,0,415.67,BOL-6159drIt,True,True,True,,0,1,3,0,0,0,CAD,Axis Bank,494221,0.0,0.012322,0,0,0,4,0,0,3,730.0,0,1.6461312095662937,clean,0
2623eff9-63e6-4bd6-8bd1-5452fcbe66f0,2025-08-03 17:42:31,INV-Hm3773,32053164293,56008728026,Virudhunagar,7108,Cross-group dedicated monitoring goods,6423.65,PCS,15757.1,402217845.23,402217845.23,402217845.23,62615.1493,62615.1493,CN,0.1,INNSA1,0,0,15757.1,BOL-0318JEoX,True,True,True,,0,1,3,0,0,0,DP,Bank of Baroda,375323,0.0,3.9e-05,0,0,0,4,0,4,4,1460.0,0,1.0199776414940123,clean,0
f3400b13-f4b6-4a9c-ab7f-d7aa92bf7641,2025-09-23 21:58:27,INV-HS0618,71326021168,85021403445,Dindigul,3004,general cargo,231.84,LTR,0.0,5361.77,5361.77,5361.77,23.1268,23.1268,IR,0.98,INNSA1,0,0,0.0,,,True,,,0,1,2,0,0,5,DA,Punjab National Bank,110015,0.0,0.0,0,1,0,2,0,12,5,3650.0,0,0.5172682003704624,ghost_shipment,1
ef887329-7487-48cf-a07d-d07a96664ee5,2024-07-10 16:44:43,INV-En0012,58131106601,27411768029,Dharmapuri,8471,Object-based client-server capability goods,136.96,LTR,343.34,10999.91,10999.91,10999.91,80.3173,80.3173,IR,0.98,INNSA1,0,0,343.34,BOL-8935qZyS,True,True,True,,0,1,0,0,0,1,TT,City Union Bank,843511,0.0,0.031213,0,0,0,4,0,1,1,2920.0,0,1.349524087575695,clean,0
4690c0c8-8e8c-4677-a246-77290b933cb8,2024-08-10 19:40:29,INV-pK0656,84155616308,29743740840,Tiruchirappalli,7204,assorted goods,2717.39,LTR,12827.61,655.78,1516.09,1516.09,0.2413,0.5579,IR,0.98,INNSA1,0,0,12827.61,BOL-9878ZVeg,True,True,True,,0,1,3,0,0,3,CAD,Canara Bank,462677,-56.74,19.560713,0,0,0,2,0,1,6,730.0,0,1.7812486949364394,misdescription,1
99fbebd7-ef02-4bf3-a7a7-b44f61a252e1,2024-09-19 13:26:41,INV-LV5120,35992568497,26594689113,Erode,8471,Upgradable fault-tolerant flexibility goods,9645.9,LTR,5049.87,967953.94,967953.94,967953.94,100.3487,100.3487,SY,0.95,INNSA1,0,0,5049.87,BOL-2819AiRn,True,True,True,,0,1,2,0,0,2,DA,Indian Overseas Bank,153775,0.0,0.005217,0,0,0,4,0,8,9,5110.0,0,1.6841233524687906,clean,0
a8e21619-8772-4045-9868-52261b7e8c5a,2024-08-30 15:12:32,INV-Bl8666,11579130388,31388541537,Dindigul,2601,Re-contextualized full-range ability goods,9434.04,KG,31997.49,999.21,999.21,999.21,0.1059,0.1059,MM,0.85,INNSA1,0,0,31997.49,BOL-8119VuLs,True,True,True,,0,1,2,0,0,0,CAD,HDFC Bank,117387,0.0,32.022682,0,0,0,4,0,19,9,1460.0,0,0.8507412919321925,clean,0
fb268c02-04c4-4912-9438-1e38cbe3ed80,2025-09-30 15:51:13,INV-vB0205,37741175132,74156455993,Coimbatore,6403,general cargo,5555.85,MTR,0.0,53253.46,53253.46,53253.46,9.5851,9.5851,KP,1.0,INICJ4,0,0,0.0,,,True,,,0,1,1,0,0,4,DA,Indian Overseas Bank,394097,0.0,0.0,0,1,0,2,0,19,5,4015.0,0,0.9562524253777916,ghost_shipment,1
