S.No,"Name, Address & email Id of the Unit",Contact Person Name & Contact No.,Category (Manufacturer / Supplier),Product Name,Stock in Hand (In Nos.),Production Capacity per Week ( In Nos.),Remarks
District Name: Ariyalur,,,,,,,
1,"M/s SCHELLA  FASHIONS,4/171- MAIN ROAD, VIRAGALUR,
THIRUPPEYAR POST,
THIRUMANUR SO,
ARIYALUR TK-DT.
PIN-621715schellafashions@gmail.com",Mr. Kumar.7708535111,Supplier,KN95 Masks / N95 Masks,2000,50000,
2,"M/s SCHELLA  FASHIONS,4/171 - MAIN ROAD, VIRAGALUR,  THIRUPPEYAR POST,  THIRUMANUR SO.  ARIYALUR TK-DT.  PIN-621715.schellafashions@gmail.com",Mr. Kumar.7708535111,Manufacturer,PPE KITS,0,1000,"MINIMUM STOCK ONLY AVAILABLE READY.
AGAINST ORDER WE PRODUCE VOLUME QUANTITIES."
3,"M/s SCHELLA  FASHIONS,4/171 - MAIN ROAD, VIRAGALUR,  THIRUPPEYAR POST,  THIRUMANUR SO.  ARIYALUR TK-DT.  PIN-621715.schellafashions@gmail.com",Mr. Kumar.7708535111,Manufacturer,Hospital Matresses,0,1000,"MINIMUM STOCK ONLY AVAILABLE READY.
AGAINST ORDER WE PRODUCE VOLUME QUANTITIES."
4,"M/s SCHELLA  FASHIONS,4/171 - MAIN ROAD, VIRAGALUR,  THIRUPPEYAR POST,  THIRUMANUR SO.  ARIYALUR TK-DT.  PIN-621715.schellafashions@gmail.com",Mr. Kumar.7708535111,Manufacturer,3Ply Surgical Masks,5000,10000,"MINIMUM STOCK ONLY AVAILABLE READY.
AGAINST ORDER WE PRODUCE VOLUME QUANTITIES."
5,"M/s Shree Divine Power Solutions,PGM Complex
Kailasanathar Kovil Street 
Ariyalur and District 
Tamil Nadu 621704shreedivinepowersolutions@gmail.com",Suthagar Rasu9566708011,Supplier,KN95 Masks / N95 Masks,200000,1000000,N95 Masks will be delivered in 2 to 3 days against supply order and 100% Advance Payment
6,"M/s Shree Divine Power Solutions,PGM Complex 
Kailasanathar Kovil Street 
Ariyalur and District
Tamil Nadu 621704shreedivinepowersolutions@gmail.com",Suthagar Rasu9566708011,Supplier,3Ply Surgical Masks,300000,1000000,3Ply Surgical Masks will be delivered in 2 days against supply order and 100% Advance Payment
7,"M/s Harikiruba Tailoring School,keelapalur, Ariyalurvidhyasoundar1978@gmail.com",Vidhya7904434654,Manufacturer,PPE KITS,0,750,We are engaging in 3 Ply face mask mfg.  On need basis we are mfg. PPE Kits.
8,"M/s SCHELLA  FASHIONS,4/171- MAIN ROAD, VIRAGALUR,
THIRUPPEYAR POST,
THIRUMANUR SO,
ARIYALUR TK-DT.
PIN-621715schellafashions@gmail.com",Mr. Kumar.7708535111,Supplier,Pillows,50,2500,
9,"M/s Shree Divine Power Solutions,PGM Complex,
Kailasanathar Kovil Street,
Ariyalur and District 
Tamil Nadu 621704shreedivinepowersolutions@gmail.com",Suthagar Rasu9566708011,Supplier,Sanitizer (Alcohol Based),200000,500000,Sanitizer will be delivered in 3 ro 4 days against Supply order and Advance Payment
10,"M/s SCHELLA  FASHIONS,4/171- MAIN ROAD, VIRAGALUR,
THIRUPPEYAR POST,
THIRUMANUR SO,
ARIYALUR TK-DT.
PIN-621715schellafashions@gmail.com",Mr. Kumar.7708535111,Supplier,Hospital Matresses,50,500,
11,"M/s SCHELLA  FASHIONS,4/171- MAIN ROAD, VIRAGALUR,
THIRUPPEYAR POST,
THIRUMANUR SO,
ARIYALUR TK-DT.
PIN-621715schellafashions@gmail.com",Mr. Kumar.7708535111,Supplier,Fowler Cot,0,50,
12,"M/s SCHELLA  FASHIONS,4/171- MAIN ROAD, VIRAGALUR,
THIRUPPEYAR POST,
THIRUMANUR SO,
ARIYALUR TK-DT.
PIN-621715schellafashions@gmail.com",Mr. Kumar.7708535111,Supplier,3Ply Surgical Masks,200000,500000,
13,"M/s SCHELLA  FASHIONS,4/171- MAIN ROAD, VIRAGALUR,
THIRUPPEYAR POST,
THIRUMANUR SO,
ARIYALUR TK-DT.
PIN-621715schellafashions@gmail.com",Mr. Kumar.7708535111,Supplier,PPE KITS,10000,25000,
14,"M/s Schella Fashions,4/171 main road.  Viragalur.  Thiruppeyar. Po.  Thirumanur so. Ariyalur dt. Pin 621715Schellafashions@gmail.com",KUMAR7708535111,Manufacturer,3Ply Surgical Masks,300000,100000,
District Name: Chengelpet,,,,,,,
15,"M/s ROTOPIA INTERNATIONAL,88/100 MOUDA IBRAHIM STREET
NAGALKENI CHROMPET CHENNAIrotopiainternationals@gmail.com",M. Balasubramanian9444030742,Manufacturer,PPE KITS,10000,10000,We are manufacturing 3Ply Face Mask with High Quality and All Disposable medical items
